county_number,county,order_year,order_month,order_amount,order_revenue,number_of_orders
6,benton,2015,8,3906.11,44571.62,571
6,benton,2015,9,5346.85,61984.71,759
6,benton,2015,10,7028.3,77073.1,598
6,benton,2015,11,4153.83,51361.1,551
6,benton,2015,12,5429.12,75375.78,855
6,benton,2016,1,3774.36,46702.91,530
6,benton,2016,2,6409.83,70797.19,555
6,benton,2016,3,4972.45,61200.67,711
6,benton,2016,4,3924.77,47610.32,596
6,benton,2016,5,6922.94,78357.84,774
6,benton,2016,6,4293.3,53351.93,591
6,benton,2016,7,4170.08,49519.81,626
6,benton,2016,8,4693.68,62361.57,777
6,benton,2016,9,6139.72,72503.27,786
6,benton,2016,10,5509.48,68234.2,726
6,benton,2016,11,5865.69,76737.01,1048
6,benton,2016,12,7007.75,100310.09,830
6,benton,2017,1,3933.42,48617.64,684
6,benton,2017,2,6578.79,72560.4,715
6,benton,2017,3,5338.04,65082.26,855
6,benton,2017,4,4571.3,54087.3,724
6,benton,2017,5,8817.19,105221.5,1070
6,benton,2017,6,5341.01,67046.05,807
6,benton,2017,7,4711.04,57279.49,768
6,benton,2017,8,6578.1,78987.35,959
6,benton,2017,9,6334.68,73063.52,709
6,benton,2017,10,4310.95,57749.73,702
6,benton,2017,11,7215.78,94111.92,924
6,benton,2017,12,6021.04,79786.97,917
6,benton,2018,1,7223.58,86121.22,843
6,benton,2018,2,4577.87,58177.21,684
6,benton,2018,3,5517.75,70470.2,806
6,benton,2018,4,4357.95,52750.62,766
6,benton,2018,5,9963.57,120357.28,1093
6,benton,2018,6,5542.96,70676.08,961
6,benton,2018,7,4658.92,63172.03,777
6,benton,2018,8,6736.46,88405.93,1119
6,benton,2018,9,7534.69,89627.63,895
6,benton,2018,10,7044.96,101347,941
6,benton,2018,11,5622.53,75988.54,851
6,benton,2018,12,5489.82,71632.35,884
6,benton,2019,1,6509.53,85741.81,1023
6,benton,2019,2,6254.72,73439.78,760
6,benton,2019,3,4040.71,54613.36,690
6,benton,2019,4,7795,103488.01,1204
6,benton,2019,5,8102.52,98988.78,930
6,benton,2019,6,5394.93,73162.68,839
6,benton,2019,7,6888.4,93227.35,1043
6,benton,2019,8,6123.72,84428.87,958
6,benton,2019,9,7888.1,99032.12,935
6,benton,2019,10,6114.96,84110.3,899
6,benton,2019,11,6516.61,94211.25,1077
6,benton,2019,12,4395.41,64291.16,748
6,benton,2020,5,12552.58,186031.14,1731
6,benton,2020,6,8850.13,121250.82,1305
6,benton,2020,7,269.6,3506.55,66
6,benton,2020,11,7037.09,105947.3,1218
7,black hawk,2012,1,69864.2,953881.25,7471
7,black hawk,2012,2,82780.16,1152781.19,8120
7,black hawk,2012,3,82411.15,1174234.22,8209
7,black hawk,2012,4,92840.17,1311359.38,9343
7,black hawk,2012,5,88192.23,1184198.32,8825
7,black hawk,2012,6,93432.19,1327951.04,8615
7,black hawk,2012,7,91120.41,1237380.84,9583
7,black hawk,2012,8,91271.98,1250221.67,9800
7,black hawk,2012,9,69082.85,971296.44,7074
7,black hawk,2012,10,142441.44,2012406.46,10909
7,black hawk,2012,11,75548.96,1127253.61,8155
7,black hawk,2012,12,101261.02,1510600.32,10714
7,black hawk,2013,1,74297.89,1018335.11,8222
7,black hawk,2013,2,77106.78,1125064,7724
