Episode Number,Season,Episode,Rating,Code,Number of Episodes,Prop Through Series,Title,main_character_left
324,15,11,7.2,tt0096697,660,0.4909090909090909,The Simpsons,0
336,16,1,7.4,tt0096697,660,0.509090909090909,The Simpsons,0
349,16,14,6.8,tt0096697,660,0.5287878787878788,The Simpsons,0
362,17,6,7.0,tt0096697,660,0.5484848484848485,The Simpsons,0
375,17,19,7.3,tt0096697,660,0.5681818181818182,The Simpsons,0
388,18,10,6.7,tt0096697,660,0.5878787878787879,The Simpsons,0
401,19,1,6.7,tt0096697,660,0.6075757575757575,The Simpsons,0
414,19,14,7.4,tt0096697,660,0.6272727272727273,The Simpsons,0
427,20,7,7.2,tt0096697,660,0.646969696969697,The Simpsons,0
440,20,20,6.4,tt0096697,660,0.6666666666666666,The Simpsons,0
453,21,12,6.9,tt0096697,660,0.6863636363636364,The Simpsons,0
466,22,2,6.8,tt0096697,660,0.706060606060606,The Simpsons,0
479,22,15,6.7,tt0096697,660,0.7257575757575757,The Simpsons,0
492,23,6,7.8,tt0096697,660,0.7454545454545455,The Simpsons,0
504,23,18,7.2,tt0096697,660,0.7636363636363637,The Simpsons,0
517,24,9,6.8,tt0096697,660,0.7833333333333333,The Simpsons,0
530,24,22,6.8,tt0096697,660,0.803030303030303,The Simpsons,0
543,25,13,6.8,tt0096697,660,0.8227272727272728,The Simpsons,0
556,26,4,7.4,tt0096697,660,0.8424242424242424,The Simpsons,0
569,26,17,6.7,tt0096697,660,0.8621212121212121,The Simpsons,0
582,27,8,7.1,tt0096697,660,0.8818181818181818,The Simpsons,0
595,27,21,6.5,tt0096697,660,0.9015151515151515,The Simpsons,0
608,28,12,6.4,tt0096697,660,0.9212121212121213,The Simpsons,0
621,29,4,7.3,tt0096697,660,0.9409090909090909,The Simpsons,0
634,29,17,7.1,tt0096697,660,0.9606060606060606,The Simpsons,0
647,30,9,7.0,tt0096697,660,0.9803030303030303,The Simpsons,0
4,1,4,7.5,tt0098904,173,0.023121387283236993,Seinfeld,0
7,2,2,8.0,tt0098904,173,0.04046242774566474,Seinfeld,0
11,2,6,8.2,tt0098904,173,0.06358381502890173,Seinfeld,0
14,2,9,8.4,tt0098904,173,0.08092485549132948,Seinfeld,0
17,2,12,7.8,tt0098904,173,0.09826589595375723,Seinfeld,0
21,3,4,7.4,tt0098904,173,0.12138728323699421,Seinfeld,0
24,3,7,8.6,tt0098904,173,0.13872832369942195,Seinfeld,0
27,3,10,7.5,tt0098904,173,0.15606936416184972,Seinfeld,0
31,3,14,8.6,tt0098904,173,0.1791907514450867,Seinfeld,0
34,3,17,8.9,tt0098904,173,0.19653179190751446,Seinfeld,0
38,3,21,8.1,tt0098904,173,0.21965317919075145,Seinfeld,0
41,4,1,8.3,tt0098904,173,0.23699421965317918,Seinfeld,0
44,4,4,8.5,tt0098904,173,0.2543352601156069,Seinfeld,0
48,4,8,8.6,tt0098904,173,0.2774566473988439,Seinfeld,0
51,4,11,9.6,tt0098904,173,0.2947976878612717,Seinfeld,0
54,4,14,8.3,tt0098904,173,0.31213872832369943,Seinfeld,0
58,4,18,8.2,tt0098904,173,0.3352601156069364,Seinfeld,0
61,4,21,8.6,tt0098904,173,0.35260115606936415,Seinfeld,0
65,5,2,9.0,tt0098904,173,0.37572254335260113,Seinfeld,0
68,5,5,8.2,tt0098904,173,0.3930635838150289,Seinfeld,0
71,5,8,8.4,tt0098904,173,0.41040462427745666,Seinfeld,0
75,5,12,8.7,tt0098904,173,0.43352601156069365,Seinfeld,0
78,5,15,8.6,tt0098904,173,0.4508670520231214,Seinfeld,0
81,5,18,8.6,tt0098904,173,0.4682080924855491,Seinfeld,0
85,6,1,8.2,tt0098904,173,0.4913294797687861,Seinfeld,0
88,6,4,8.3,tt0098904,173,0.5086705202312138,Seinfeld,0
92,6,8,8.2,tt0098904,173,0.5317919075144508,Seinfeld,0
95,6,11,9.0,tt0098904,173,0.5491329479768786,Seinfeld,0
98,6,14,7.3,tt0098904,173,0.5664739884393064,Seinfeld,0
102,6,18,9.0,tt0098904,173,0.5895953757225434,Seinfeld,0
105,6,21,8.2,tt0098904,173,0.6069364161849711,Seinfeld,0
108,7,1,8.7,tt0098904,173,0.6242774566473989,Seinfeld,0
112,7,5,8.8,tt0098904,173,0.6473988439306358,Seinfeld,0
115,7,8,8.5,tt0098904,173,0.6647398843930635,Seinfeld,0
119,7,12,8.7,tt0098904,173,0.6878612716763006,Seinfeld,0
122,7,15,8.6,tt0098904,173,0.7052023121387283,Seinfeld,0
125,7,18,8.3,tt0098904,173,0.7225433526011561,Seinfeld,0
129,7,22,8.8,tt0098904,173,0.7456647398843931,Seinfeld,0
132,8,3,9.2,tt0098904,173,0.7630057803468208,Seinfeld,0
135,8,6,8.3,tt0098904,173,0.7803468208092486,Seinfeld,0
139,8,10,8.5,tt0098904,173,0.8034682080924855,Seinfeld,0
142,8,13,8.8,tt0098904,173,0.8208092485549133,Seinfeld,0
146,8,17,8.7,tt0098904,173,0.8439306358381503,Seinfeld,0
149,8,20,8.3,tt0098904,173,0.861271676300578,Seinfeld,0
152,9,1,8.6,tt0098904,173,0.8786127167630058,Seinfeld,0
156,9,5,8.2,tt0098904,173,0.9017341040462428,Seinfeld,0
159,9,8,9.0,tt0098904,173,0.9190751445086706,Seinfeld,0
162,9,11,8.7,tt0098904,173,0.9364161849710982,Seinfeld,0
166,9,15,8.2,tt0098904,173,0.9595375722543352,Seinfeld,0
169,9,18,9.0,tt0098904,173,0.976878612716763,Seinfeld,0
2,1,2,7.2,tt0103359,85,0.023529411764705882,Batman: The Animated Series,0
4,1,4,7.4,tt0103359,85,0.047058823529411764,Batman: The Animated Series,0
5,1,5,7.6,tt0103359,85,0.058823529411764705,Batman: The Animated Series,0
7,1,7,7.5,tt0103359,85,0.08235294117647059,Batman: The Animated Series,0
9,1,9,7.2,tt0103359,85,0.10588235294117647,Batman: The Animated Series,0
10,1,10,7.2,tt0103359,85,0.11764705882352941,Batman: The Animated Series,0
12,1,12,6.7,tt0103359,85,0.1411764705882353,Batman: The Animated Series,0
