Code,Title,Season,Episode,Rating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0043175,The Amos 'n Andy Show,2.0,10.0,8.3,35.0,74,0.47297297297297297,0
tt0043175,The Amos 'n Andy Show,2.0,12.0,8.3,36.0,74,0.4864864864864865,0
tt0043175,The Amos 'n Andy Show,2.0,14.0,7.9,38.0,74,0.5135135135135135,0
tt0043175,The Amos 'n Andy Show,2.0,15.0,7.7,39.0,74,0.527027027027027,0
tt0043175,The Amos 'n Andy Show,2.0,17.0,8.2,41.0,74,0.5540540540540541,0
tt0043175,The Amos 'n Andy Show,2.0,18.0,8.4,42.0,74,0.5675675675675675,0
tt0043175,The Amos 'n Andy Show,2.0,19.0,8.4,43.0,74,0.581081081081081,0
tt0043175,The Amos 'n Andy Show,2.0,21.0,8.6,45.0,74,0.6081081081081081,0
tt0043175,The Amos 'n Andy Show,2.0,22.0,8.1,46.0,74,0.6216216216216216,0
tt0043175,The Amos 'n Andy Show,2.0,24.0,8.0,48.0,74,0.6486486486486487,0
tt0043175,The Amos 'n Andy Show,2.0,25.0,7.9,49.0,74,0.6621621621621622,0
tt0043175,The Amos 'n Andy Show,3.0,3.0,8.6,51.0,74,0.6891891891891891,0
tt0043175,The Amos 'n Andy Show,3.0,4.0,8.0,52.0,74,0.7027027027027027,0
tt0043175,The Amos 'n Andy Show,3.0,5.0,8.4,53.0,74,0.7162162162162162,0
tt0043175,The Amos 'n Andy Show,3.0,7.0,8.0,55.0,74,0.7432432432432432,0
tt0043175,The Amos 'n Andy Show,3.0,8.0,8.0,56.0,74,0.7567567567567568,0
tt0043175,The Amos 'n Andy Show,3.0,10.0,8.5,58.0,74,0.7837837837837838,0
tt0043175,The Amos 'n Andy Show,3.0,11.0,8.1,59.0,74,0.7972972972972973,0
tt0043175,The Amos 'n Andy Show,3.0,13.0,7.5,61.0,74,0.8243243243243243,0
tt0043175,The Amos 'n Andy Show,4.0,1.0,7.9,62.0,74,0.8378378378378378,0
tt0043175,The Amos 'n Andy Show,4.0,2.0,8.1,63.0,74,0.8513513513513513,0
tt0043175,The Amos 'n Andy Show,4.0,4.0,8.6,65.0,74,0.8783783783783784,0
